id,section,weakness,weakness_type,severity,suggestion,status,notes
row,6.4 Grayscale transfer,"Claims grayscale-RGB IR is 'statistically indistinguishable' from baseline (F1 0.837 vs 0.840) and from retrained_v2 FPPI (0.142 vs 0.139), but no significance test/CI is reported; the F1 tie rests on a single 187-GT clip.",overclaim,med,Drop 'statistically'; state the raw gap and that a single small clip cannot resolve it.,confirmed,autofixed both instances; evidence vid_drone_ir_gray
row_2,2.2 Anti-UAV,baseline and retrained_v2 report byte-identical TP/FP/FN on Anti-UAV; stated as saturated but identical integer counts across two differently-trained models is an unexamined anomaly (saturation vs shared-cache artefact).,weak-argument,low,"Add a sentence explaining the identical counts, or verify the two runs used distinct prediction caches.",confirmed,RESOLVED in thesis: investigated ablation master.csv (rgb_new vs rgb_old both TP3178/FP25/FN16); identical because Anti-UAV RGB is in-distribution training data for both variants; added backed explanation citing tab:ds_rgb_components
row_3,3.x Distilled verifier,"All five mlp_v5 surfaces are evaluated on the FT4 detector, not the production baseline RGB detector used elsewhere; transfer of the gains (and the rgb_dataset ceiling) to the shipped detector is untested.",weak-argument,med,State explicitly that the v5 study is FT4-scoped and production-detector transfer is open.,confirmed,autofix: add FT4-scope caveat; backed by eval target=ft4
row_4,6.3/6.5 Real-video FPPI,Per-clip confuser FPPI is computed from ~20-30 frames/clip; headline 6.8x bird-FPPI and Pareto rest partly on small per-clip samples (aggregate is 1250 frames but per-category is thin).,weak-argument,low,Note per-clip sampling noise in Threats to Validity.,confirmed,RESOLVED in thesis: added per-clip sampling-noise caveat to External Validity (aggregate 1250 frames reliable; per-category indicative)
row_5,2.3/3.6 IR Svanstrom numbers,"IR v3b Svanstrom@1280 numbers (P0.950/R0.973/F10.961, TP2234/FP117/FN63) appear in the numerical-comparison table and IR-detector section but are NOT a row in evals.csv (ir_final_v3b is the 640 test split); they ride the prov-may10-imgsz open gap.",unsupported,med,"Record the Svanstrom-IR@1280 eval as a row, or mark the comparison-table cell ND pending the run.",open,"Eval recorded as evals.ir_v3b_svan640_may10 (P0.950/R0.973/F10.961 TP2234/FP117/FN63). KEY FINDING: run is imgsz=640 (confirmed via rgb_only R0.072 collapse), NOT 1280 as the thesis comparison-table labels it. ACTION PENDING (user call): relabel that table cell @1280->@640 (IR is natively 640x512). prov-may10-imgsz now resolved=640."
row_6,4.3 IR evolution table,V2 row mAP50=0.661 in tab:ir_evolution is not in the cited cache (ir_comparison_test_640... starts at V3); evals.csv ir_final_v2 records only F1=0.430.,missing-citation,high,Cite the separate V2 eval run or replace 0.661 with --- like its mAP50-95 cell.,confirmed,RESOLVED: comparison cache has no V2 row; thesis V2 came from standalone ir_v2_eval_test_640.csv but mAP50/P were transposed + F1 wrong (0.430->0.503). Fixed thesis table + V2->V3 paragraph + evals.csv ir_final_v2. Corrected V2 mAP50 0.458 < V3 0.571 so the old 'mAP/F1 disagree' beat was removed.
row_7,2.3/3.6 IR Svanstrom numbers,"IR v3b Svanstrom@1280 numbers (P0.950/R0.973/F10.961, TP2234/FP117/FN63) appear in the numerical-comparison table and IR-detector section but are NOT a row in evals.csv (ir_final_v3b is the 640 test split); they ride the prov-may10-imgsz open gap.",unsupported,med,"Record the Svanstrom-IR@1280 eval as a row, or mark the comparison-table cell ND pending the run.",confirmed,DUPLICATE of row_5 — ignore
row_8,4.3 IR evolution table,V2 row mAP50=0.661 in tab:ir_evolution is not in the cited cache (ir_comparison_test_640 starts at V3); evals.csv ir_final_v2 records only F1=0.430.,missing-citation,med,Cite the separate V2 eval run or replace 0.661 with --- like its mAP50-95 cell.,confirmed,DUPLICATE of row_6 — ignore
row_9,5.4 Scoring-rule audit,28pp swing headline (dual F1 0.663 vs trust-aware 0.940) traces only to archived EVIDENCE_LEDGER E_scoring; neither number is a row in knowledge/evals.csv. It is a Contribution-list claim.,unsupported,high,Migrate E_scoring into evals.csv (dual vs trust-aware on svan_iop_1280) and re-verify 0.663/0.940 from the cache before final.,confirmed,RESOLVED: found+verified in eval/results/_ablation/2026-05-10T16-08-14 E_scoring; recorded as ledger scoring-rule-swing. Thesis 0.663/0.940 = classifier_then_filter (verified). Numbers correct.
row_10,3.6.1 IR on Svanstrom (L861) + External Validity (L2026),"IR-only Svanstrom P=0.950 R=0.973 F1=0.961 (TP2234/FP117/FN63) is stated and labelled imgsz=1280 at L861 and reused as F1=0.961 in the external-validity cross-check at L2026, but the eval row confirms it is imgsz=640. Svanstrom and the IR channel are natively 640; the 1280 label overstates resolution comparability with the RGB@1280 column right beside it.",unsupported,high,"Relabel @1280 -> @640 at L861 and the numerical-comparison cell; note IR is native 640. Distinct from row_5 which flagged only the comparison-table cell, not the L861/L2026 narrative.",confirmed,RESOLVED/ADDRESSED 2026-06-05: IR @640 relabel + corrected citation (L861/L337/L2019/L2027)
row_11,"Production stack: robust6 vs robust8 (L731, L972-974, L1078-1083, L2090, RQ1/RQ2)","The thesis names robust6 as THE production trust classifier everywhere (abstract, L731 'production stack uses the six free features of robust6', L951, the robust6 paragraphs L1078-1099, production-stack L2090, RQ1/RQ2 answers). As of 2026-06-05 robust8 (=robust6 + rgb_mean_conf + is_grayscale) at tau=0.20 is the recommended production model; it closes robust6's grayscale trust_rgb recall hole (svan_gray R 0.577->0.681) at a ~7-10x video-confuser FP cost. The thesis presents the grayscale hole (L972-974) as an unresolved open item when an 8-feature fix now exists and is shipped. Stale production identity + understated resolution of a self-declared carve-out.",overclaim,high,"Either (a) add a robust8 subsection: robust8 = robust6 + {rgb_mean_conf, is_grayscale} with a per-class trust_rgb threshold closes the grayscale hole at a structural video-confuser FP cost (tau-robust), and update L972-974 + L2090 to name robust8@tau0.20 as production with robust6 as the in-domain-optimal lean baseline; OR (b) if keeping robust6 as the thesis's frozen production pick, explicitly state robust8 is post-thesis and the grayscale hole is closed in follow-up work.",confirmed,RESOLVED/ADDRESSED 2026-06-05: robust6->robust8 propagated
row_12,"Production-verifier identity / cascade topology (L702, L746, L1260, L2090)","The deployed verifier stage is described two incompatible ways in the production-stack paragraph (L2090) and elsewhere. (1) Per-frame mlp_v5 + mlp_v5_ir_aligned run every frame and SUPERSEDE the patch verifier (L702 'both running per-frame', L1260 'cheap enough to run per frame rather than alert-gated', L2090). (2) The cascade is 'alert_gate_only' (L746, L2090 'The cascade is alert_gate_only') and L708 design-rationale still frames the alert-gated patch verifier as a live filtering stage. A per-frame verifier and an alert_gate_only cascade are mutually exclusive topologies; L2090 asserts both in one paragraph. A reader cannot tell whether the shipped verifier fires per-frame or only at the alert gate.",weak-argument,med,"State one deployed topology: production = mlp_v5/mlp_v5_ir_aligned per-frame (classifier->verifier), with 'alert_gate_only' explicitly scoped to the SUPERSEDED patch-verifier experiments only. Remove or re-scope the L2090 'The cascade is alert_gate_only' clause so it does not read as the current production topology.",confirmed,RESOLVED/ADDRESSED 2026-06-05: verifier-identity resolved per-frame=prod/patch=as-measured
