id,date,claim,outcome,condition,evidence_evals,contradicts,thesis_contribution,status,notes
mri-v5-report-regen,2026-05-30,MRI regeneration of mlp_v5_report.md from the cached V5 feature corpus contradicts two of its stated numbers,partial,"FT4 detector; shipped corpus _v5_selcom_pure_1x8 (32,931: 19,334 drone + 13,597 conf); 517-D (5 meta + p3@2x2 + p5@1x1)",,,Model MRI tool,confirmed,"Regenerated on the SHIPPED corpus. Original report §2 figures came from a non-shipped corpus (_v5_p3p5_ft4_distill, 35,277); §2 count 35,098 matches neither. Top discriminative feature = P5 channel 154 (F=42,346), NOT confidence (meta max F=10,696, rank 6) -> refutes original §2.4. LDA 95.2% + MLP CV F1 0.9857 confirm originals. Also fixed a channel/cell label transpose bug inherited from visualize_v5_features.py. Writeup: mri/docs/mlp_v5_report_regen.md"
selcom-imgsz-win,2026-05-30,"selcom CCTV recall doubles from imgsz 640->1280 (0.244->0.468) while precision rises (0.59->0.76); imgsz crosses YOLO's small-object floor, preprocessing does not help",supported,,selcom_ft2_1280,,resolution-driven small-drone recovery,confirmed,§3.4; preprocess sweep REPORT.md
retrainedv2-recall-collapse,2026-05-30,aggressive confuser-negative retraining (retrained_v2) collapses drone recall on small-drone Svanstrom (R=0.306 @1280); disqualified for production,supported,visible only on small-drone Svanstrom; Anti-UAV saturation hides it,rgb_svan_retrainedv2;rgb_antiuav_retrainedv2,,,confirmed,§3.1
antiuav-saturated,2026-05-30,"Anti-UAV is saturated (F1~0.994 for both RGB variants, identical TP/FP/FN) - a sanity floor, not a discriminating benchmark",supported,,rgb_antiuav_baseline;rgb_antiuav_retrainedv2,,,confirmed,§3.2; Svanstrom is the discriminating surface
scene-fingerprint-overfit,2026-05-30,per-clip brightness scalars and pos_x act as scene fingerprints under sequence-split; dropping them (lean13->lean10) recovers +18-26pp on held-out drone clips,supported,,,,scene-fingerprint overfitting in fusion classifiers,confirmed,"§5.2,§5.3; lean13/17 deprecated"
trust-classifier-conditional,2026-05-30,no single trust classifier dominates: sa32 wins Svanstrom-distribution metrics but fires 13x more than fusion_no_fn on the OOD confuser zoo,conditional,ship sa32 for calibrated/known-scene deploy; fusion_no_fn for open-world,,,condition-dependent trust calibration,confirmed,§7
v5-beats-patch,2026-05-30,"V5 distillation MLP verifier beats patch v2 on 3/5 surfaces (Svan +8.6pp, selcom +1.5pp, confuser 7.5x cleaner), ties Anti-UAV, suppresses halluc on all 5, and is 46-72x faster per detection",supported,,v5_svan_mlp;v5_svan_patch;v5_selcom_mlp;v5_confuser_mlp;v5_antiuav_mlp,,distilled feature-space verifier (production candidate),confirmed,"§13.1,§13.8"
v5-rgbds-ceiling,2026-05-30,"V5 has a STRUCTURAL recall ceiling (~0.66-0.77) on rgb_dataset_test (photo-style/held-out split); -7.8pp F1 vs bare. Three independent fixes all fail: threshold sweep (no-op), Svanstrom-weight rebalance (no-op), and rgb_dataset coverage boost (+14.5k drones = NET-NEGATIVE, -3pp recall). Train/test distribution mismatch, not a tuning problem.",supported,,v5_rgbds_mlp;v5_rgbds_bare;v52_rgbds_remine,v5-beats-patch,,confirmed,"§13.4,§13.8; coverage-boost disproof 2026-05-30 (V5.2 CV F1 UP 0.988 but test F1 DOWN -> OOD split). Resolution = carve-out: route photo-style RGB to patch v2 (0.904 there). Lost cause for retraining on available data."
patch-v2-neutral-selcom,2026-05-30,"patch v2 is identical to bare FT4 on selcom (trained with no CCTV exposure -> votes 'other'); V5 must beat bare, not patch, on this surface - and it does (+1.5pp)",supported,,v5_selcom_patch;v5_selcom_bare;v5_selcom_mlp,,patch-verifier blind spot motivates distillation,confirmed,§13.3
v5-ship-per-frame,2026-05-30,"V5 verifier ships per-frame, not alert-gated: alert-gating saves <0.2 ms/frame but costs -4.0pp Svanstrom F1",supported,,,,,confirmed,§13.7
ir-version-progression,2026-05-30,IR detector improved V2->Final from F1 0.430->0.967 via FP review and split cleanup; v3b ~ Final (numerically indistinguishable on the test split),supported,,ir_final_final;ir_final_v3b;ir_final_v4,,,confirmed,"§4.1. V5 regression (P 0.895→0.768, F1 0.737) root cause: a large batch of new positive data was injected into training all at once instead of through the disciplined per-batch HITL review loop; the unreviewed bulk batch carried unlabelled drones that V5 fired on and was scored against as FP. V6/Final recover via corpus-wide cleanup. Failure mode = bulk ingestion bypassing the review step."
v5-lda-separability,2026-05-30,FT4 fused p3+p5 ROI features are linearly separable: LDA 0.949 binary (drone vs confuser) and 0.954 4-class by confuser category - grounding the V5 verifier in feature geometry,supported,,,,linear separability of detector ROI features,confirmed,"§13.9. 4-class by-category LDA (Drone/Bird/Airplane/Helicopter) acc 0.9538 on n=8949 balanced (Drone 2500/Bird 2211/Airplane 2207/Helicopter 2031); variance LD1 0.434/LD2 0.296/LD3 0.269 -> separation is genuinely 3-D, four distinct clusters (Drone left, Helicopter upper-right, Airplane center, Bird lower). Binary drone-vs-confuser acc 0.9492 on V5 NPZ (n=35277). Detector Yolo26n_selcom_confuser_ft4_1280. CATEGORY SOURCE: Svanstrom by FILENAME prefix at imgsz=1280 (IR_DRONE_/IR_BIRD_/IR_AIRPLANE_/IR_HELICOPTER_), NOT GT class (GT boxes only drones); no IoU/IoP TP filter. Figures docs/analysis/images/v5_lda_multiclass.png + v5_lda_fused.png. Repro: py scripts/visualize_v5_lda_multiclass.py; py scripts/visualize_v5_features.py."
svanstrom-category-in-filename,2026-05-30,"Svanstrom confuser category lives in the filename prefix (IR_BIRD_/IR_AIRPLANE_/IR_HELICOPTER_), NOT the GT class (GT is drone-only); mine confusers by prefix with no IoU/IoP filter",supported,,,,,confirmed,§13.9 methodology; corrects an earlier wrong 'Svanstrom cannot supply confusers' claim
ir-grayscale-fallback,2026-05-30,"IR model on grayscale-RGB matches baseline RGB on the hardest bird-cluttered drone clip (F1 0.837 vs 0.840) while cutting confuser fire rate to ~1/3, despite never seeing visible-light data in training",conditional,MATCHES (not beats) RGB; lowest confuser FPPI (0.158) among usable detectors but drone F1 0.636 is 12.4pp below baseline,vid_drone_ir_gray;vid_conf_ir_gray;vid_drone_baseline,,cross-modal grayscale fallback,confirmed,"CORRECTED 2026-05-30 from §9.4: earlier 'beats every RGB / F1 0.901' used superseded scoring (§9.3). Cross-modal grayscale fallback still validated, reframed."
cascade-confuser-collapse,2026-05-30,the full cascade (RGB->trust classifier->patch v2) collapses Svanstrom confuser FPs ~16149->271 (98.3%) at a 14.4pp drone-recall cost; patch_thr 0.5->0.9 monotonically trades recall for FPs,supported,,,,,confirmed,§7; operating-point choice = recall (defense) vs precision (alarm fatigue)
selcom-ood-confuser-damage,2026-05-30,"selcom fine-tune (selcom_1280) is the WORST RGB on OOD confuser video (frame FPR 59.3% vs baseline 47.5%, retrained_v2 26.4%); fine-tuning to CCTV damages out-of-distribution confuser robustness",supported,,vid_conf_selcom1280;vid_conf_baseline;vid_conf_retrainedv2,,fine-tune OOD-robustness tradeoff,confirmed,§9.4.3
no-pareto-dominance-video,2026-05-30,"on real video no detector Pareto-dominates: baseline best drone-F1 (0.760, FPPI 0.512), IR-grayscale lowest confuser FPPI among usable (0.158), and selcom_640 is the cleanest single point at FPPI<=0.3 (F1 0.730, FPPI 0.260)",supported,,vid_drone_baseline;vid_drone_selcom640;vid_drone_ir_gray,,operating-point / Pareto framing of detector choice,confirmed,§9.4.5; selcom_640 not previously studied
patch-verifier-distribution-bound,2026-05-30,"the patch verifier is severely distribution-bound: it suppresses OOD airplane FPs only 3.1%/1.9% on Roboflow@640 vs ~52% on Svanstrom@1280, and costs net drone F1 at 640; the TRUST CLASSIFIER (not the patch) is the main confuser-rejection lever",supported,,rob_rgb_baseline,,patch verifier is distribution-bound; trust classifier carries confuser rejection,confirmed,"§8.2,§8 reads"
